customer_id,recency,frequency,monetary_value,subscribe
C001,8,12,320,1
C002,45,5,140,0
C003,12,9,260,1
C004,120,2,60,0
C005,20,7,210,1
C006,75,3,85,0
C007,5,15,410,1
C008,98,4,110,0
C009,31,6,180,0
C010,14,11,275,1
C011,65,3,95,0
C012,9,10,305,1
C013,150,1,40,0
C014,28,8,225,1
C015,55,4,130,0
C016,7,13,390,1
C017,90,2,70,0
C018,22,7,205,1
C019,38,5,160,0
C020,11,9,245,1
C021,135,1,50,0
C022,18,8,230,1
C023,60,4,120,0
C024,6,14,420,1
C025,82,3,100,0
C026,25,6,190,1
C027,42,5,150,0
C028,10,12,330,1
C029,105,2,75,0
C030,16,9,270,1

