product_id,brand,week_id,screen_size,final_price,marketing_expense,units_sold
TV001,Philips,1,30-39,320,1200,42
TV001,Philips,2,30-39,310,1300,45
TV001,Philips,3,30-39,300,1400,48
TV002,Samsung,1,40-49,480,1800,51
TV002,Samsung,2,40-49,470,1850,55
TV002,Samsung,3,40-49,455,1900,59
TV003,LG,1,50-59,620,2100,66
TV003,LG,2,50-59,600,2200,72
TV003,LG,3,50-59,590,2300,75
TV004,Sony,1,60+,820,2400,43
TV004,Sony,2,60+,790,2500,46
TV004,Sony,3,60+,760,2600,49
TV005,Philips,1,50-59,560,1600,62
TV005,Philips,2,50-59,545,1750,67
TV005,Philips,3,50-59,530,1850,70
TV006,Samsung,1,60+,900,2800,52
TV006,Samsung,2,60+,870,2900,54
TV006,Samsung,3,60+,840,3000,58

